Well D,District,Taluka,Location,Type,pH,EC,TDS,CO3,HCO3,CL,NO3,SO4,F,Alk,Ca,Mg,TH,Na,K,SAR,Arsenic,Unnamed: 23
W222515072474001,Anand,PETLAD,Dharmaj,Dug Well,8.29,1844.0,1235.0,0.0,708.0,184.0,65.0,49.0,0.48,580.0,40.0,31.0,230.0,330.0,2.1,9.46,4.0,
W223039072340001,Anand,Tarapur,Tol,Dug Well,8.28,637.0,427.0,0.0,232.0,64.0,6.0,49.0,0.4,190.0,48.0,22.0,210.0,59.0,5.1,1.77,6.0,
W242420072383001,Banaskantha,AMIRGADH,Amirgadh,Dug Well,7.56,3704.0,2482.0,0.0,476.0,852.0,115.0,132.0,0.75,390.0,96.0,185.0,1000.0,386.0,3.8,5.31,,
W242045072321501,Banaskantha,AMIRGADH,Iqbalgarh,Dug Well,7.74,1149.0,770.0,0.0,354.0,149.0,70.0,10.0,0.7,290.0,76.0,46.0,380.0,88.0,2.3,1.96,,
W242340072374001,Banaskantha,AMIRGADH,Kidotar,Dug Well,7.94,1602.0,1073.0,0.0,793.0,121.0,36.0,17.0,0.9,650.0,96.0,56.0,470.0,185.0,9.0,3.71,1.0,
W241750072565001,Banaskantha,DANTA,Ganapipli,Dug Well,8.12,885.0,593.0,0.0,354.0,78.0,41.0,19.0,1.8,290.0,68.0,29.0,290.0,78.0,2.4,1.99,2.0,
W241000072434001,Banaskantha,DANTA,Mohabbat gadh,Dug Well,7.61,1783.0,1195.0,0.0,281.0,341.0,95.0,63.0,0.95,230.0,200.0,19.0,580.0,130.0,3.6,2.35,,
W241030072444501,Banaskantha,DANTA,Ratanpur2,Dug Well,7.89,1185.0,794.0,0.0,305.0,156.0,110.0,21.0,0.35,250.0,128.0,19.0,400.0,85.0,3.1,1.85,,
W242610072215501,Banaskantha,DANTIWADA,Gangodra,Dug Well,8.27,1902.0,1274.0,0.0,415.0,391.0,16.0,58.0,0.95,340.0,84.0,63.0,470.0,232.0,6.9,4.65,,
W242405072174501,Banaskantha,DANTIWADA,Sodapur,Dug Well,8.28,1063.0,712.0,0.0,354.0,149.0,18.0,25.0,1.15,290.0,24.0,19.0,140.0,187.0,2.8,6.87,,
W242350072170501,Banaskantha,DEESA,Meda,Dug Well,8.06,1054.0,706.0,0.0,423.0,121.0,18.0,14.0,0.4,347.0,112.0,41.0,450.0,46.0,7.5,0.94,,
W241140072260001,Banaskantha,PALANPUR,Palanpur2,Dug Well,8.28,1374.0,921.0,0.0,439.0,185.0,95.0,7.0,0.92,360.0,52.0,19.0,210.0,230.0,1.1,6.9,,
W243150071323001,Banaskantha,THARAD,Bharol,Dug Well,8.26,615.0,412.0,0.0,329.0,43.0,8.0,10.0,0.2,270.0,60.0,12.0,200.0,40.0,48.6,1.23,2.0,
W243930071460001,Banaskantha,THARAD,Khoda,Dug Well,8.25,4028.0,2699.0,0.0,890.0,753.0,29.0,143.0,2.3,730.0,72.0,68.0,460.0,701.0,35.5,14.21,,
W241830072193001,Banaskantha,DANTIWADA,Dantiwada1,Dug Well,8.13,478.0,320.0,0.0,171.0,57.0,19.0,6.0,0.65,140.0,56.0,10.0,180.0,30.0,2.2,0.97,,
W215500072473001,Bharuch,AMOD,Roja tankaria,Dug Well,8.23,707.0,474.0,0.0,281.0,99.0,4.0,3.0,0.36,230.0,60.0,22.0,240.0,64.0,8.6,1.8,2.0,
W214030072583001,Bharuch,ANKLESVAR,Juna borbhata,Dug Well,8.2,1923.0,1288.0,0.0,814.0,262.0,13.0,12.0,0.36,667.0,100.0,79.0,580.0,201.0,39.0,3.63,7.0,
W213320072531501,Bharuch,ANKLESVAR,Motwan,Dug Well,8.18,1983.0,1329.0,0.0,427.0,383.0,3.0,57.0,0.74,350.0,72.0,46.0,370.0,272.0,5.5,6.15,1.0,
W214100073011001,Bharuch,ANKLESVAR,Mulad,Dug Well,7.98,3008.0,2015.0,0.0,263.0,608.0,42.0,389.0,1.0,216.0,280.0,12.0,750.0,357.0,23.0,5.67,2.0,
