"SN","District","Location","pH","EC","TDS","CO3","HCO3","CI","NO3","SO4","F","Alk","Ca","Mg","TH","Na","K","Fe","SAR"
"126","Bhavnagar","Talaja2","8.10","1910","1280","0","500","284","100","58","0.35","410","40","10","140","376","0.2","","13.82"
"127","Bhavnagar","Trapaj","7.90","1641","1099","0","342","170","280","115","0,60","280","124","92","690","83","0.7","","1.37"
"128","Bhavnagar","Bhutia","7.90","1955","1310","0","317","412","95","53","0.30","260","152","63","640","157","0.6","","2.70"
"129","Bhavnagar","Jalia","7.70","4070","2727","0","427","1093","70","113","0.50","350","304","223","1680","187","6.1","","1.98"
"130","Bhavnagar","Porbada","8.20","890","596","0","378","99","15","29","0.75","310","72","24","280","99","3.7","0.00","2.57"
"131","Bhavnagar","Timbi2","8.20","404","271","0","195","43","8","12","0.10","160","32","15","140","46","1.4","","1.69"
"132","Bhavnagar","Lonjdhara","8.20","1338","896","0","634","99","25","28","2.20","520","24","24","160","256","0,6","","8.80"
"133","Bhavnagar","Panvi1","8.20","2800","1876","0","1095","341","19","55","2.00","898","24","24","160","599","13.3","","20.59"
"134","Bhavnagar","Vallbhipur","7.90","6384","4277","0","1013","1562","9","118","2.40","830","40","73","400","1287","1.1","","27.98"
"135","Bhavnagar","Ayodhyapuram","8.20","4550","3049","0","1671","611","32","151","4.40","1370","16","19","120","1066","0.2","0,00","42.31"
