District,Taluka,Location,pH,EC,TDS,TH,Ca,Mg,Na,K,CO3,HCO3,Cl,NO3,SO4,F,Alk,Fe
Panchmahals,SHEHERA,Shehra,7.95,1823.0,1221.0,310.0,52.0,43.0,240.0,77.0,0.0,842.0,128.0,31.0,20.0,0.8,690.0,0.0
Panchmahals,MORWA (HADAF),Suliyat,7.59,1185.0,794.0,430.0,156.0,10.0,76.0,7.7,0.0,500.0,106.0,29.0,8.0,0.84,410.0,0.074
Panchmahals,GODHRA,Tuwa,7.87,769.0,515.0,260.0,72.0,19.0,71.0,12.4,0.0,366.0,71.0,6.0,6.0,0.55,300.0,0.017
Panchmahals,KALOL,Vejalpur,7.58,1753.0,1175.0,660.0,100.0,98.0,140.0,7.5,0.0,512.0,276.0,49.0,103.0,1.45,420.0,0.322
Patan,CHANASMA,Dharmoda1,8.21,946.0,634.0,230.0,56.0,22.0,157.0,31.9,0.0,512.0,71.0,8.0,41.0,0.55,420.0,0.303
Patan,CHANASMA,Dhinoj1,7.93,1427.0,956.0,300.0,60.0,36.0,210.0,43.5,0.0,476.0,213.0,7.0,53.0,0.45,390.0,1.047
Patan,SAMI,Moti chander,7.71,23380.0,15665.0,5700.0,80.0,900.0,3480.0,49.9,0.0,952.0,8652.0,50.0,79.0,0.85,780.0,4.736
Patan,PATAN,Patan2,8.08,2409.0,1614.0,330.0,92.0,24.0,450.0,39.7,0.0,1116.0,191.0,60.0,66.0,1.5,915.0,1.673
Patan,SANTALPUR,Piprala,8.26,6328.0,4240.0,1200.0,160.0,195.0,1040.0,2.4,0.0,905.0,1525.0,180.0,375.0,1.7,742.0,0.423
Patan,RADHANPUR,Radhanpur2,8.03,4141.0,2774.0,1050.0,220.0,122.0,565.0,68.6,0.0,1098.0,922.0,70.0,1.0,1.25,900.0,2.57
Patan,PATAN,Sander,8.0,543.0,364.0,190.0,48.0,17.0,50.0,11.6,0.0,281.0,21.0,7.0,30.0,0.55,230.0,0.434
Patan,PATAN,Shankhari,8.28,719.0,482.0,230.0,28.0,39.0,103.0,15.6,0.0,366.0,78.0,10.0,29.0,1.5,300.0,1.539
Porbandar,RANAVAV,Adityana,7.96,623.0,417.0,220.0,44.0,26.0,91.0,8.1,0.0,256.0,113.0,24.0,24.0,1.0,210.0,0.026
